AttendanceID,EnrollmentID,AttendanceDate,AttendanceStatus,ClassType,ClassDuration
A0000001,E004817,2025-05-09,Unknown,Lab,3.0
A0000002,E004817,2025-07-17,Present,Tutorial,2.0
A0000003,E004817,2025-05-12,Present,Lab,1.5
A0000004,E004817,2025-07-06,Present,Tutorial,3.0
A0000005,E004817,2025-08-08,Present,Lecture,1.0
A0000006,E004817,2025-07-01,Present,Lab,1.0
A0000007,E012441,2026-02-02,Present,Lecture,1.0
A0000008,E012441,2026-02-09,Absent,Lab,2.0
A0000009,E012441,2026-01-02,Late,Lab,3.0
A0000010,E012441,2026-03-17,Present,Tutorial,1.0
A0000011,E012441,2026-02-07,Present,Tutorial,2.0
A0000012,E012441,2026-03-03,Present,Tutorial,3.0
A0000013,E012441,2026-04-08,Present,Lecture,3.0
A0000014,E000077,2023-07-05,Present,Tutorial,1.0
A0000015,E000077,2023-07-15,Present,Tutorial,2.0
A0000016,E000077,2023-06-27,Absent,Lab,2.0
A0000017,E000077,2023-06-21,Absent,Lecture,1.0
A0000018,E000077,2023-06-15,Present,Lecture,1.5
A0000019,E000077,2023-05-17,Present,Tutorial,1.0
A0000020,E000077,2023-06-03,Absent,Lecture,3.0
A0000021,E000077,2023-05-08,Absent,Lecture,2.0
A0000022,E003218,2025-06-10,Present,Lecture,3.0
A0000023,E003218,2025-05-15,Present,Lab,3.0
A0000024,E003218,2025-06-10,Present,Lab,3.0
A0000025,E003218,2025-07-07,Present,Tutorial,1.0
A0000026,E003218,2025-07-26,Present,Lab,2.0
A0000027,E004856,2024-07-01,Absent,Lab,1.0
A0000028,E004856,2024-06-30,Present,Lecture,1.5
A0000029,E004856,2024-06-24,Present,Tutorial,1.5
A0000030,E004856,2024-06-10,Present,Tutorial,1.5
A0000031,E004856,2024-06-19,Present,Lab,1.0
A0000032,E004856,2024-06-10,Absent,Lab,1.0
A0000033,E004856,2024-05-17,Present,Tutorial,1.0
A0000034,E004856,2024-05-25,Present,Tutorial,1.5
A0000035,E008102,2025-12-05,Present,Lecture,1.0
A0000036,E008102,2025-09-17,Present,Lab,1.0
A0000037,E008102,2025-10-19,Present,Lecture,1.0
A0000038,E008102,2025-09-09,Present,Lab,1.0
A0000039,E008102,2025-11-19,Present,Lecture,1.0
A0000040,E008102,2025-09-04,Late,Lecture,1.0
A0000041,E006587,2023-06-30,Present,Tutorial,3.0
A0000042,E006587,2023-05-09,Present,Tutorial,1.5
A0000043,E006587,2023-05-01,Present,Lab,3.0
A0000044,E006587,2023-07-08,Present,Lecture,3.0
A0000045,E006587,2023-06-01,Present,Lab,3.0
A0000046,E006587,2023-07-01,Present,Lab,1.5
A0000047,E006587,2023-07-04,Excused,Lecture,3.0
A0000048,E006587,2023-06-21,Present,Lecture,3.0
A0000049,E010891,2023-09-01,Present,Tutorial,2.0
A0000050,E010891,2023-09-28,Absent,Lab,1.5
A0000051,E010891,2023-09-13,Present,Lab,1.0
A0000052,E010891,2023-11-08,Present,Lab,2.0
A0000053,E010891,2023-11-03,Present,Tutorial,1.5
A0000054,E008245,2025-11-21,Absent,Lab,2.0
A0000055,E008245,2025-10-24,Absent,Lecture,3.0
A0000056,E008245,2025-12-02,Absent,Lecture,3.0
A0000057,E008245,2025-09-08,Present,Lab,2.0
A0000058,E008245,2025-10-07,Present,Tutorial,2.0
A0000059,E008245,2025-10-28,Present,Tutorial,3.0
A0000060,E008351,2025-06-07,Absent,Tutorial,1.5
A0000061,E008351,2025-06-30,Present,Lecture,3.0
A0000062,E008351,2025-05-20,Late,Tutorial,2.0
A0000063,E008351,2025-05-16,Excused,Lab,1.5
A0000064,E008351,2025-08-06,Excused,Lab,1.0
A0000065,E005054,2023-04-04,Present,Tutorial,3.0
A0000066,E005054,2023-03-25,Present,Tutorial,1.5
A0000067,E005054,2023-01-17,Present,Tutorial,1.5
A0000068,E005054,2023-04-03,Present,Lab,1.5
A0000069,E005054,2023-02-23,Present,Lab,3.0
A0000070,E003509,2025-07-11,Present,Lecture,2.0
A0000071,E003509,2025-08-09,Present,Lab,2.0
A0000072,E003509,2025-06-09,Present,Lecture,1.5
A0000073,E003509,2025-05-22,Present,Lecture,1.0
A0000074,E003509,2025-06-20,Present,Lecture,3.0
A0000075,E012256,2023-07-18,Present,Lecture,2.0
A0000076,E012256,2023-08-03,Late,Lab,3.0
A0000077,E012256,2023-07-25,Present,Tutorial,1.0
A0000078,E012256,2023-05-04,Present,Lecture,1.0
A0000079,E012256,2023-08-04,Present,Lecture,1.5
A0000080,E011498,2023-12-08,Present,Lab,1.0
A0000081,E011498,2023-10-02,Present,Lab,1.5
A0000082,E011498,2023-11-29,Present,Tutorial,1.5
A0000083,E011498,2023-11-22,Present,Tutorial,1.5
A0000084,E011498,2023-12-03,Excused,Lab,2.0
A0000085,E011498,2023-12-04,Present,Lecture,2.0
A0000086,E011498,2023-11-26,Present,Tutorial,2.0
A0000087,E008070,2023-10-11,Present,Lecture,3.0
A0000088,E008070,2023-09-23,Present,Tutorial,2.0
A0000089,E008070,2023-11-04,Present,Tutorial,1.0
A0000090,E008070,2023-11-11,Excused,Lab,2.0
A0000091,E008070,2023-09-22,Present,Tutorial,2.0
A0000092,E008070,2023-10-06,Absent,Lab,3.0
A0000093,E001858,2023-11-12,Present,Lab,3.0
A0000094,E001858,2023-10-09,Present,Tutorial,1.5
A0000095,E001858,2023-12-02,Late,Lab,1.5
A0000096,E001858,2023-09-09,Present,Tutorial,1.5
A0000097,E001858,2023-11-05,Present,Lab,1.5
A0000098,E001858,2023-09-29,Present,Lab,3.0
A0000099,E001858,2023-10-19,Present,Lecture,2.0
A0000100,E001858,2023-09-15,Absent,Lecture,3.0
A0000101,E011900,2025-11-08,Present,Lecture,1.0
A0000102,E011900,2025-09-13,Present,Lecture,2.0
A0000103,E011900,2025-11-09,Present,Lab,1.5
A0000104,E011900,2025-10-24,Present,Lecture,1.5
A0000105,E011900,2025-11-18,Late,Tutorial,2.0
A0000106,E011900,2025-09-30,Present,Lecture,3.0
A0000107,E011900,2025-11-06,Present,Lecture,1.5
A0000108,E011900,2025-11-02,Present,Lecture,2.0
A0000109,E007400,2023-09-17,Present,Lab,1.0
A0000110,E007400,2023-12-05,Present,Lecture,1.0
A0000111,E007400,2023-10-12,Present,Tutorial,3.0
A0000112,E007400,2023-09-15,Present,Tutorial,3.0
A0000113,E007400,2023-11-28,Present,Tutorial,2.0
A0000114,E006989,2024-07-09,Present,Tutorial,3.0
A0000115,E006989,2024-07-23,Present,Lab,1.0
A0000116,E006989,2024-05-14,Present,Lecture,3.0
A0000117,E006989,2024-07-23,Absent,Lecture,3.0
A0000118,E006989,2024-05-09,Present,Lab,3.0
A0000119,E006989,2024-07-24,Present,Lab,3.0
A0000120,E006989,2024-06-07,Present,Tutorial,1.5
A0000121,E002344,2023-06-29,Present,Lecture,2.0
A0000122,E002344,2023-06-16,Present,Lecture,2.0
A0000123,E002344,2023-07-14,Present,Lab,1.0
A0000124,E002344,2023-08-03,Present,Tutorial,3.0
A0000125,E002344,2023-06-06,Absent,Lecture,3.0
A0000126,E002344,2023-05-11,Present,Lab,2.0
A0000127,E005876,2026-01-07,Present,Lecture,1.5
A0000128,E005876,2026-01-30,Present,Lab,3.0
