PaymentID,StudentID,SemesterID,TotalPayable,AmountPaid,OutstandingAmount,PaymentStatus,PaymentDate,PaymentMethod,Payment Risk Level
P000001,STU0001,S09,68000,51000,17000,Partial,2025-09-16,Cash,Moderate Risk
P000002,STU0001,S10,52000,39000,13000,Partial,,Mobile Banking,Moderate Risk
P000003,STU0001,S05,52000,52000,0,Paid,2024-05-05,Cash,No Risk
P000004,STU0001,S01,68000,68000,0,Paid,2023-02-18,Bank,No Risk
P000005,STU0001,S07,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P000006,STU0002,S10,52000,26000,26000,Partial,2026-02-03,Cash,High Risk
P000007,STU0002,S07,75000,0,75000,Unpaid,,Mobile Banking,High Risk
P000008,STU0002,S06,52000,0,52000,Unpaid,,Cash,High Risk
P000009,STU0002,S05,45000,45000,0,Paid,2024-06-23,Card,No Risk
P000010,STU0002,S08,52000,52000,0,Paid,2025-05-02,Bank,No Risk
P000011,STU0002,S11,68000,0,68000,Unpaid,,Cash,High Risk
P000012,STU0002,S09,45000,45000,0,Paid,2025-10-27,Card,No Risk
P000013,STU0003,S07,45000,45000,0,Paid,2025-02-04,Bank,No Risk
P000014,STU0003,S11,60000,0,60000,Unpaid,,Cash,High Risk
P000015,STU0003,S05,52000,52000,0,Paid,2024-06-23,Bank,No Risk
P000016,STU0003,S03,52000,0,52000,Unpaid,,Mobile Banking,High Risk
P000017,STU0004,S07,60000,0,60000,Unpaid,,Mobile Banking,High Risk
P000018,STU0004,S04,68000,68000,0,Paid,2024-01-20,Bank,No Risk
P000019,STU0004,S02,52000,26000,26000,Partial,2023-05-27,Bank,High Risk
P000020,STU0004,S09,52000,52000,0,Paid,2025-09-07,Mobile Banking,No Risk
P000021,STU0004,S10,45000,0,45000,Unpaid,,Card,High Risk
P000022,STU0004,S01,68000,51000,17000,Partial,2023-01-03,Card,Moderate Risk
P000023,STU0004,S06,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P000024,STU0004,S05,52000,52000,0,Paid,2024-06-01,Bank,No Risk
P000025,STU0005,S10,60000,60000,0,Paid,2026-02-22,Cash,No Risk
P000026,STU0005,S05,75000,75000,0,Paid,2024-05-28,Bank,No Risk
P000027,STU0005,S01,60000,60000,0,Paid,2023-01-13,Cash,No Risk
P000028,STU0005,S02,60000,45000,15000,Partial,2023-05-21,Card,Moderate Risk
P000029,STU0005,S06,60000,45000,15000,Partial,2024-10-06,Cash,Moderate Risk
P000030,STU0005,S04,52000,39000,13000,Partial,2024-02-14,Mobile Banking,Moderate Risk
P000031,STU0006,S01,68000,68000,0,Paid,2023-02-14,Bank,No Risk
P000032,STU0006,S10,52000,26000,26000,Partial,2026-01-04,Bank,High Risk
P000033,STU0006,S07,60000,60000,0,Paid,2025-01-11,Card,No Risk
P000034,STU0006,S05,75000,56250,18750,Partial,2024-05-18,Card,Moderate Risk
P000035,STU0006,S11,75000,0,75000,Unpaid,,Card,High Risk
P000036,STU0007,S09,68000,0,68000,Unpaid,,Card,High Risk
P000037,STU0007,S05,45000,22500,22500,Partial,2024-06-10,Bank,High Risk
P000038,STU0007,S07,75000,75000,0,Paid,2025-01-01,Card,No Risk
P000039,STU0007,S10,75000,56250,18750,Partial,2026-01-06,Cash,Moderate Risk
P000040,STU0007,S01,52000,52000,0,Paid,2023-01-19,Mobile Banking,No Risk
P000041,STU0007,S02,75000,0,75000,Unpaid,,Bank,High Risk
P000042,STU0008,S07,68000,68000,0,Paid,2025-02-22,Card,No Risk
P000043,STU0008,S04,60000,60000,0,Paid,2024-01-22,Cash,No Risk
P000044,STU0008,S01,68000,51000,17000,Partial,2023-02-16,Card,Moderate Risk
P000045,STU0008,S10,52000,52000,0,Paid,2026-01-09,Card,No Risk
P000046,STU0008,S08,45000,0,45000,Unpaid,,Cash,High Risk
P000047,STU0008,S11,60000,60000,0,Paid,2026-05-23,Cash,No Risk
P000048,STU0008,S05,60000,45000,15000,Partial,2024-06-12,Bank,Moderate Risk
P000049,STU0008,S09,68000,0,68000,Unpaid,,Mobile Banking,High Risk
P000050,STU0009,S01,68000,0,68000,Unpaid,,Card,High Risk
P000051,STU0009,S09,75000,75000,0,Paid,2025-10-04,Card,No Risk
P000052,STU0009,S08,68000,0,68000,Unpaid,,Cash,High Risk
P000053,STU0009,S11,45000,22500,22500,Partial,2026-06-27,Card,High Risk
P000054,STU0009,S03,75000,56250,18750,Partial,2023-10-05,Bank,Moderate Risk
P000055,STU0009,S07,68000,68000,0,Paid,2025-02-02,Bank,No Risk
P000056,STU0010,S10,52000,39000,13000,Partial,2026-01-24,Bank,Moderate Risk
P000057,STU0010,S09,60000,0,60000,Unpaid,,Cash,High Risk
P000058,STU0010,S06,45000,45000,0,Paid,2024-10-26,Card,No Risk
P000059,STU0010,S08,68000,34000,34000,Partial,2025-05-10,Mobile Banking,High Risk
P000060,STU0010,S03,52000,52000,0,Paid,2023-10-04,Cash,No Risk
P000061,STU0010,S01,45000,22500,22500,Partial,2023-01-10,Bank,High Risk
P000062,STU0010,S07,68000,51000,17000,Partial,2025-02-16,Cash,Moderate Risk
P000063,STU0011,S01,75000,75000,0,Paid,2023-01-16,Cash,No Risk
P000064,STU0011,S03,52000,52000,0,Paid,2023-09-20,Cash,No Risk
P000065,STU0011,S05,60000,30000,30000,Partial,2024-05-23,Cash,High Risk
P000066,STU0011,S11,75000,75000,0,Paid,2026-06-09,Mobile Banking,No Risk
P000067,STU0011,S07,60000,45000,15000,Partial,2025-01-11,Cash,Moderate Risk
P000068,STU0011,S04,60000,60000,0,Paid,2024-01-26,Card,No Risk
P000069,STU0012,S07,68000,0,68000,Unpaid,,Cash,High Risk
P000070,STU0012,S02,45000,45000,0,Paid,2023-05-29,Cash,No Risk
P000071,STU0012,S04,60000,0,60000,Unpaid,,Cash,High Risk
P000072,STU0012,S06,52000,52000,0,Paid,2024-10-03,Mobile Banking,No Risk
P000073,STU0012,S03,52000,26000,26000,Partial,2023-10-07,Card,High Risk
P000074,STU0013,S07,45000,0,45000,Unpaid,,Bank,High Risk
P000075,STU0013,S11,52000,52000,0,Paid,2026-06-19,Mobile Banking,No Risk
P000076,STU0013,S08,52000,26000,26000,Partial,2025-05-21,Card,High Risk
P000077,STU0013,S04,52000,0,52000,Unpaid,,Cash,High Risk
P000078,STU0013,S09,60000,0,60000,Unpaid,,Card,High Risk
P000079,STU0013,S03,45000,0,45000,Unpaid,,Mobile Banking,High Risk
P000080,STU0013,S05,45000,0,45000,Unpaid,,Bank,High Risk
P000081,STU0014,S03,52000,52000,0,Paid,2023-09-24,Cash,No Risk
P000082,STU0014,S01,60000,0,60000,Unpaid,,Bank,High Risk
P000083,STU0014,S04,60000,30000,30000,Partial,2024-02-13,Card,High Risk
P000084,STU0014,S05,68000,68000,0,Paid,2024-06-06,Cash,No Risk
P000085,STU0014,S09,45000,33750,11250,Partial,2025-10-02,Bank,Moderate Risk
P000086,STU0014,S06,68000,51000,17000,Partial,2024-10-14,Card,Moderate Risk
P000087,STU0014,S07,68000,0,68000,Unpaid,,Card,High Risk
P000088,STU0015,S01,75000,75000,0,Paid,2023-01-25,Mobile Banking,No Risk
P000089,STU0015,S08,68000,0,68000,Unpaid,,Card,High Risk
P000090,STU0015,S03,60000,45000,15000,Partial,2023-10-09,Card,Moderate Risk
P000091,STU0015,S04,75000,37500,37500,Partial,2024-01-24,Bank,High Risk
P000092,STU0016,S09,60000,60000,0,Paid,2025-09-15,Cash,No Risk
P000093,STU0016,S04,45000,45000,0,Paid,2024-02-28,Cash,No Risk
P000094,STU0016,S05,60000,60000,0,Paid,2024-05-30,Mobile Banking,No Risk
P000095,STU0016,S10,52000,52000,0,Paid,2026-02-04,Bank,No Risk
P000096,STU0016,S11,45000,45000,0,Paid,2026-05-06,Cash,No Risk
P000097,STU0017,S04,45000,22500,22500,Partial,2024-01-18,Mobile Banking,High Risk
P000098,STU0017,S11,75000,0,75000,Unpaid,,Cash,High Risk
P000099,STU0017,S08,68000,34000,34000,Partial,2025-06-22,Card,High Risk
