EnrollmentID,StudentID,CourseID,SemesterID,FacultyID,EnrollmentDate,EnrollmentStatus,FinalMark,LetterGrade,GradePoint,AttendancePercentage,PassedStatus
E000001,STU0001,C065,S03,F012,2023-09-04,Completed,108.0,A+,4.0,81.7,Passed
E000002,STU0001,C008,S03,F030,2023-09-21,Completed,-5.0,C,2.25,62.3,Passed
E000003,STU0001,C059,S03,F029,2023-09-02,Completed,62.1,B,3.0,58.7,Passed
E000004,STU0001,C053,S03,F029,2023-09-11,Enrolled,75.3,A,3.75,78.5,Passed
E000005,STU0001,C038,S03,F010,2023-09-10,Completed,73.5,A-,3.5,67.5,Passed
E000006,STU0001,C031,S11,F030,2026-05-03,Completed,53.7,C+,2.5,81.9,Passed
E000007,STU0001,C053,S11,F046,2026-05-15,Completed,63.5,B,3.0,78.7,Passed
E000008,STU0001,C038,S11,F029,2026-05-14,Completed,99.0,A+,4.0,54.7,Passed
E000009,STU0001,C065,S11,F030,2026-05-15,Completed,62.9,B,3.0,71.1,Passed
E000010,STU0001,C008,S11,F046,2026-05-18,Completed,55.9,B-,2.75,92.8,Passed
E000011,STU0001,C053,S07,F018,2025-01-05,Completed,72.0,A-,3.5,84.7,Passed
E000012,STU0001,C031,S07,F024,2025-01-06,Completed,51.9,C+,2.5,91.9,Passed
E000013,STU0001,C038,S07,F048,2025-01-16,Withdrawn,49.3,C,2.25,93.6,Passed
E000014,STU0001,C008,S07,F010,2025-01-06,Withdrawn,71.6,A-,3.5,72.8,Passed
E000015,STU0001,C008,S02,F048,2023-05-19,Completed,38.4,F,0.0,62.9,Failed
E000016,STU0001,C038,S02,F018,2023-05-14,Withdrawn,60.8,B,3.0,86.6,Passed
E000017,STU0001,C053,S02,F029,2023-05-18,Completed,90.8,A+,4.0,78.8,Passed
E000018,STU0001,C065,S02,F046,2023-05-07,Completed,52.6,C+,2.5,83.6,Passed
E000019,STU0001,C059,S02,F048,2023-05-02,Completed,53.0,C+,2.5,88.9,Passed
