PaymentID,StudentID,SemesterID,TotalPayable,AmountPaid,OutstandingAmount,PaymentStatus,PaymentDate,PaymentMethod
P000001,STU0001,S09,68000,51000.0,17000.0,paid ,2025-09-16,Cash
P000002,STU0001,S10,52000,39000.0,13000.0,Partial,,Mobile Banking
P000003,STU0001,S05,52000,52000.0,0.0,Paid,2024-05-05,Cash
P000004,STU0001,S01,68000,68000.0,0.0,Paid,2023-02-18,Bank
P000005,STU0001,S07,45000,0.0,45000.0,Unpaid,,Mobile Banking
P000006,STU0002,S10,52000,26000.0,26000.0,Partial,2026-02-03,Cash
P000007,STU0002,S07,75000,0.0,75000.0,Unpaid,,Mobile Banking
P000008,STU0002,S06,52000,0.0,52000.0,Unpaid,,Cash
P000009,STU0002,S05,45000,45000.0,0.0,Paid,2024-06-23,Card
P000010,STU0002,S08,52000,52000.0,0.0,Paid,2025-05-02,Bank
P000011,STU0002,S11,68000,0.0,68000.0,Unpaid,,Cash
P000012,STU0002,S09,45000,45000.0,0.0,Paid,2025-10-27,Card
P000013,STU0003,S07,45000,45000.0,0.0,Paid,2025-02-04,Bank
P000014,STU0003,S11,60000,0.0,60000.0,Unpaid,,Cash
P000015,STU0003,S05,52000,52000.0,0.0,Paid,2024-06-23,Bank
P000016,STU0003,S03,52000,0.0,52000.0,Unpaid,,Mobile Banking
P000017,STU0004,S07,60000,0.0,60000.0,Unpaid,,Mobile Banking
P000018,STU0004,S04,68000,68000.0,0.0,Paid,2024-01-20,Bank
P000019,STU0004,S02,52000,26000.0,26000.0,Partial,2023-05-27,Bank
P000020,STU0004,S09,52000,52000.0,0.0,Paid,2025-09-07,Mobile Banking
P000021,STU0004,S10,45000,0.0,45000.0,Unpaid,,Card
P000022,STU0004,S01,68000,51000.0,17000.0,Partial,2023-01-03,Card
P000023,STU0004,S06,68000,0.0,68000.0,Unpaid,,Mobile Banking
P000024,STU0004,S05,52000,52000.0,0.0,Paid,2024-06-01,Bank
P000025,STU0005,S10,60000,60000.0,0.0,Paid,2026-02-22,Cash
P000026,STU0005,S05,75000,75000.0,0.0,Paid,2024-05-28,Bank
P000027,STU0005,S01,60000,60000.0,0.0,Paid,2023-01-13,Cash
P000028,STU0005,S02,60000,45000.0,15000.0,Partial,2023-05-21,Card
P000029,STU0005,S06,60000,45000.0,15000.0,Partial,2024-10-06,Cash
P000030,STU0005,S04,52000,39000.0,13000.0,Partial,2024-02-14,Mobile Banking
P000031,STU0006,S01,68000,68000.0,0.0,Paid,2023-02-14,Bank
P000032,STU0006,S10,52000,26000.0,26000.0,Partial,2026-01-04,Bank
P000033,STU0006,S07,60000,60000.0,0.0,Paid,2025-01-11,Card
P000034,STU0006,S05,75000,56250.0,18750.0,Partial,2024-05-18,Card
P000035,STU0006,S11,75000,0.0,75000.0,Unpaid,,Card
P000036,STU0007,S09,68000,0.0,68000.0,Unpaid,,Card
P000037,STU0007,S05,45000,22500.0,22500.0,Partial,2024-06-10,Bank
P000038,STU0007,S07,75000,75000.0,0.0,Paid,2025-01-01,Card
P000039,STU0007,S10,75000,56250.0,18750.0,Partial,2026-01-06,Cash
P000040,STU0007,S01,52000,52000.0,0.0,Paid,2023-01-19,Mobile Banking
P000041,STU0007,S02,75000,0.0,75000.0,Unpaid,,Bank
P000042,STU0008,S07,68000,68000.0,0.0,Paid,2025-02-22,Card
P000043,STU0008,S04,60000,60000.0,0.0,Paid,2024-01-22,Cash
P000044,STU0008,S01,68000,51000.0,17000.0,Partial,2023-02-16,Card
P000045,STU0008,S10,52000,52000.0,0.0,Paid,2026-01-09,Card
P000046,STU0008,S08,45000,0.0,45000.0,Unpaid,,Cash
P000047,STU0008,S11,60000,60000.0,0.0,Paid,2026-05-23,Cash
P000048,STU0008,S05,60000,45000.0,15000.0,Partial,2024-06-12,Bank
P000049,STU0008,S09,68000,0.0,68000.0,Unpaid,,Mobile Banking
P000050,STU0009,S01,68000,0.0,68000.0,Unpaid,,Card
P000051,STU0009,S09,75000,75000.0,0.0,Paid,2025-10-04,Card
